"Incident Number","Date of Call","Call Time","Dispatch Time","Arrival Time","Clear Time","Responsible Unit/Officer","Location","Shift","Call Type","Nature of Call","Day of Call","How Recieved","Disposition","Location","X Coord","Y Coord"
"21SH00001","01/01/2021","00:12:55","00:15:03 01/01/2021","00:23:48 01/01/2021","00:29:08 01/01/2021","LOPEZ C","2935 ACORN CT, CROWN POINT","N","l","Shots Fired","Friday","T","CLO","SHA4A","-87414172","41468424"
"21SH00002","01/01/2021","00:26:33","00:27:56 01/01/2021","00:51:55 01/01/2021","00:59:29 01/01/2021","WOZNIAK JE","5601 W LINCOLN HWY;BP, CROWN POINT","N","lf","Fight","Friday","T","CLO","SHA4B","-87402833","41475154"
"21SH00003","01/01/2021","00:27:40","00:29:37 01/01/2021","00:38:29 01/01/2021","01:47:25 01/01/2021","LOPEZ C","5721 IRIS LN, SCHERERVILLE","N","l","H&R Accident","Friday","T","CLO","SHA4J","-87404610","41495068"
"21SH00004","01/01/2021","00:46:22","00:47:40 01/01/2021","00:54:39 01/01/2021","00:59:40 01/01/2021","JANSON J","1515 JANICE DR, SCHERERVILLE","N","l","Shots Fired","Friday","T","UTL","SHA1G","-87481366","41491519"
"21SH00005","01/01/2021","01:24:51","01:40:03 01/01/2021","01:44:37 01/01/2021","01:44:40 01/01/2021","WOZNIAK JE","W LINCOLN HWY & CLINE AV; US30, SCHERERVILLE","N","l","Disabld Vehicle","Friday","O","CLO","SHA3D","-87431967","41481585"
"21SH00006","01/01/2021","01:47:17","01:47:39 01/01/2021","02:28:38 01/01/2021","04:11:20 01/01/2021","WOZNIAK JE","1904 US 41; HAMPTON INN, SCHERERVILLE","N","l","Intoxication","Friday","T","CAA","SHA2D","-87470844","41488388"
"21SH00007","01/01/2021","01:54:54","01:55:55 01/01/2021","02:00:49 01/01/2021","02:26:50 01/01/2021","STEVENS A","8175 ALPINE LN; APT C86, CROWN POINT","N","l","Domestic Dist","Friday","W","CLO","SHA4D","-87394166","41470345"
"21SH00008","01/01/2021","02:36:25","02:37:19 01/01/2021","02:41:48 01/01/2021","02:50:03 01/01/2021","STEVENS A","1444 GRANDVIEW CT, CROWN POINT","N","l","Loud Music","Friday","W","UTL","SHA4A","-87416338","41475544"
"21SH00009","01/01/2021","03:19:48","03:55:37 01/01/2021","04:01:14 01/01/2021","07:46:24 01/01/2021","STEVENS A","5300 W 73RD AV, SCHERERVILLE","N","l","PI Accident","Friday","T","CAA","4050","-87401609","41487793"
"21SH00010","01/01/2021","06:39:56","06:42:07 01/01/2021","06:45:16 01/01/2021","06:47:23 01/01/2021","BERTOSSI V","1836 CHIPPEWA DR, SCHERERVILLE","D","lf","Agency Assist","Friday","T","CLO","SHA3H","-87462398","41489049"
"21SH00011","01/01/2021","07:57:51","07:58:54 01/01/2021","08:56:07 01/01/2021","10:10:30 01/01/2021","BORK MI","4160 W 73RD PL, MERRILLVILLE","D","l","Tactical","Friday","O","CLO","MR300","-87387299","41484867"
"21SH00012","01/01/2021","10:08:13","10:09:39 01/01/2021","10:11:05 01/01/2021","10:13:23 01/01/2021","ASCENCIO RI","1349 US 41; napleton auto works Euro, SCHERERVILLE","D","l","Alarm","Friday","T","CLO","SHA1F","-87471010","41499567"
"21SH00013","01/01/2021","10:11:09","10:14:21 01/01/2021","10:18:19 01/01/2021","10:38:52 01/01/2021","ASCENCIO RI","916 WOODHOLLOW DR, SCHERERVILLE","D","l","Disturbance","Friday","T","CLO","SHA1A","-87471733","41517683"
"21SH00014","01/01/2021","10:15:54","**:**:** **/**/****","10:16:01 01/01/2021","11:21:07 01/01/2021","STALEY R","W LINCOLN HWY & FOUNTAIN PARK DR, SCHERERVILLE","D","l","Disabld Vehicle","Friday","O","CLO","SHA2C","-87475562","41490694"
"21SH00015","01/01/2021","10:18:00","10:19:42 01/01/2021","10:21:08 01/01/2021","11:20:03 01/01/2021","MYSZAK J","W LINCOLN HWY & PINE ISLAND DR, CROWN POINT","D","l","PD Accident","Friday","T","CLO","SHA4D","-87397267","41474087"
"21SH00016","01/01/2021","11:20:13","11:20:40 01/01/2021","11:32:13 01/01/2021","11:45:22 01/01/2021","GASIOREK J","1130 W LINCOLN HWY, SCHERERVILLE","D","l","PD Accident","Friday","O","CLO","SHA1G","-87479567","41490781"
"21SH00017","01/01/2021","11:47:25","11:48:28 01/01/2021","11:56:16 01/01/2021","12:19:51 01/01/2021","MYSZAK J","8153 ALPINE LN, CROWN POINT","D","l","Suspicious Veh.","Friday","T","CCF","SHA4D","-87394028","41470584"
"21SH00018","01/01/2021","12:53:27","12:56:14 01/01/2021","13:02:25 01/01/2021","13:13:24 01/01/2021","ASCENCIO RI","1318 WOODHOLLOW CT; Apt A, SCHERERVILLE","D","l","Welfare Check","Friday","T","CLO","SHA1A","-87483610","41519035"
"21SH00019","01/01/2021","13:05:25","13:07:17 01/01/2021","13:11:22 01/01/2021","13:50:11 01/01/2021","BERTOSSI V","ROHRMAN RD & CLINE AV, CROWN POINT","D","l","PD Accident","Friday","T","CLO","SHA4G","-87431904","41478376"
"21SH00021","01/01/2021","14:03:10","14:21:06 01/01/2021","14:21:22 01/01/2021","14:32:32 01/01/2021","MYSZAK J","437 HILBRICH DR, SCHERERVILLE","D","l","911 Open Line","Friday","T","CLO","SHA2I","-87462357","41471764"
"21SH00020","01/01/2021","14:08:32","14:12:06 01/01/2021","14:29:46 01/01/2021","14:29:48 01/01/2021","BERTOSSI V","1840 US 41; IHOP, SCHERERVILLE","D","l","Disturbance","Friday","T","CLO","SHA2D","-87470874","41488980"
"21SH00022","01/01/2021","15:03:00","**:**:** **/**/****","15:04:44 01/01/2021","15:38:40 01/01/2021","GASIOREK J","25 E JOLIET ST, SCHERERVILLE","D","l","Bond Out","Friday","T","CLO","SHA3G","-87451063","41492104"
"21SH00023","01/01/2021","16:26:16","**:**:** **/**/****","16:26:28 01/01/2021","16:30:41 01/01/2021","STALEY R","W LINCOLN HWY & ANNA ST; US30, SCHERERVILLE","D","l","Disabld Vehicle","Friday","O","CLO","SHA3J","-87453889","41487583"
"21SH00024","01/01/2021","16:27:20","**:**:** **/**/****","16:27:49 01/01/2021","16:34:01 01/01/2021","SAVICH S","W 165TH AV & WICKER AV, LOWELL","D","l","Agency Assist","Friday","O","CLO","6090","-87469184","41319067"
"21SH00025","01/01/2021","16:31:21","16:32:42 01/01/2021","17:04:34 01/01/2021","17:04:40 01/01/2021","GASIOREK J","25 E JOLIET ST, SCHERERVILLE","D","l","Bond Out","Friday","P","CLO","SHA3G","-87451063","41492104"
"21SH00026","01/01/2021","16:51:01","16:53:25 01/01/2021","17:03:48 01/01/2021","17:47:45 01/01/2021","ASCENCIO RI","WOODHOLLOW DR & US 41; SB, SCHERERVILLE","D","lf","PI Accident","Friday","T","CLO","SHA1C","-87471267","41517690"
"21SH00027","01/01/2021","16:57:05","16:58:57 01/01/2021","17:17:39 01/01/2021","17:31:30 01/01/2021","MYSZAK J","5520 W LINCOLN HWY; WALGREENS; EAST 30/BURR, SCHERERVILLE","D","l","Lockout","Friday","T","CLO","SHA4M","-87401872","41474969"
"21SH00028","01/01/2021","17:16:20","17:18:13 01/01/2021","17:24:29 01/01/2021","17:46:43 01/01/2021","EGER RY","SHERWOOD LAKE DR & US 41; ENTRANCE TO APTS, SCHERERVILLE","D","l","Disabld Vehicle","Friday","T","CLO","SHA2D","-87470609","41483573"
"21SH00029","01/01/2021","17:55:28","17:58:24 01/01/2021","18:14:15 01/01/2021","18:34:38 01/01/2021","EGER RY","916 WOODHOLLOW DR, SCHERERVILLE","D","l","Loud Music","Friday","T","CLO","SHA1A","-87471733","41517683"
"21SH00030","01/01/2021","19:08:51","19:11:22 01/01/2021","19:12:21 01/01/2021","19:22:20 01/01/2021","SAVICH S","42 E JOLIET ST, SCHERERVILLE","N","lf","Agency Assist","Friday","T","SFD","SHA3F","-87450643","41492132"
"21SH00031","01/01/2021","19:21:52","19:23:12 01/01/2021","19:33:35 01/01/2021","19:39:18 01/01/2021","EGER RY","BURR ST & W 85TH AV; WB JUST AFTER STOP SIGN ON 85TH, CROWN POINT","N","l","Traffic Hazard","Friday","T","UTL","4050","-87402614","41464201"
"21SH00032","01/01/2021","19:27:44","19:30:09 01/01/2021","19:39:09 01/01/2021","19:56:40 01/01/2021","SPYRNAL T","53 INVERNESS LN, SCHERERVILLE","N","lf","Agency Assist","Friday","9","SFD","SHA1B","-87492612","41521963"
"21SH00033","01/01/2021","19:49:48","19:56:47 01/01/2021","20:10:49 01/01/2021","20:27:45 01/01/2021","SPYRNAL T","1445 LAKEWOOD LN, SCHERERVILLE","N","l","Loud Music","Friday","T","CLO","SHA1G","-87478762","41496059"
"21SH00034","01/01/2021","20:15:22","20:16:30 01/01/2021","20:24:36 01/01/2021","20:32:40 01/01/2021","EGER RY","10 E JOLIET ST, SCHERERVILLE","N","l","Alarm","Friday","T","CLO","SHA3F","-87451433","41492079"
"21SH00035","01/01/2021","20:43:27","20:44:23 01/01/2021","20:50:38 01/01/2021","21:28:30 01/01/2021","SPYRNAL T","US 41 & MAIN ST;tj maxx, SCHERERVILLE","N","l","PD Accident","Friday","T","CLO","HI216","-87471342","41523013"
"21SH00036","01/01/2021","21:07:47","**:**:** **/**/****","21:13:28 01/01/2021","21:16:21 01/01/2021","LEA R","121 E JOLIET ST; Second Street Dance, SCHERERVILLE","N","lf","Utility Problem","Friday","T","CLO","SHA3E","-87449244","41492236"
"21SH00037","01/01/2021","21:16:19","**:**:** **/**/****","21:24:06 01/01/2021","21:24:23 01/01/2021","LEA R","500 E JOLIET ST, SCHERERVILLE","N","lf","Agency Assist","Friday","A","SFD","SHA3A","-87441015","41492991"
