current_date,page_num,call_number,call_time,original_call_reason_action,original_call_taker,call_address,arvd_time,clrd_time,narrative_text,referenced_citation,call_taker,call_reasons,call_actions
01/01/2020,1,20-1,0036,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL ANTHONY M DUPRAT,MAIN_ST,00:36:31,01:12:39,Narrative  Unable to renew license online vehicle parked at the commons  where operator is employed.  ,12085922,PATROL ANTHONY M DUPRAT,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/01/2020,1,20-2,0128,Phone - B.O.L.0.  SERVICES RENDERED,MICHAEL STRIZZI,NORTH_HOOSAC_RD,01:31:40,01:37:57,"Narrative  Erratic opp from North Adams. Maroon vehicle VT plates.  Traveling west on Mass Ave. Possibly no rear bumper.  Narrative  Followed VT PC HNX623 to Vermont line from Bridges Rd,  vehicle did have a rear bumper no erratic op or violations  observed.  ",,PATROLMAN MICHAEL J ZIEMBA Jr,,SERVICES RENDERED
01/01/2020,1,20-3,0201,"Phone - B,0.b.0.  UNABLE TO LOCATE",MICHAEL STRI2ZZI,MAIN_ST,02:06:14,02:07:33,Narrative  NAPD reports light colored SUV hit a light post in someones  front lawn at MM state Rd in NA and is headed West into  Williamstown.  Narrative  31 States negative contact with a large light color suv.  Narrative  Call back from NA states that the vehicle was white and  should have rear driver side damage.  ,,MICHAEL STRIZZI,,UNABLE TO LOCATE
01/01/2020,1,20-4,0204,911 -  ALARM  - BURGLAR  ALARM FALSE,MICHABL STRIZZI,(WIA_240]_COLE_AVE,02:10:08,02:20:06,Narrative  Activated Burglar Alarm  Narrative  Key Holder Notified. Advised Dispatch that they have been  having trouble with one of the zones.  31 advised no need for key holder all is ok.  Narrative  Checked building. Front and rear secure. All appears in  order. Key holder was on phone with dispatch and satisfied.  ,,MICHAEL STRIZZI,,ALARM FALSE
01/01/2020,2,20-6,0253,911 - ASSIST OTHER AGENCY - FIRE  SERVICES RENDERED,MICHAEL STRIZZI,[WIA_1977]_LUCE_RD,03:00:52,03:23:41,Narrative  Active Structure fire. 1 party still inside at this time.  Narrative  Car 1 requesting to see if an officer can check the house  aroud 0600 to make sure there are no signs of the fire  reigniting.  Narrative  House checked.  Refer To Incident:  ,,PATROLMAN MICHAEL J ZIEMBA Jr,911 - ASSIST OTHER AGENCY,SERVICES RENDERED
01/01/2020,2,20-1-OF,20~8,0412  Initiated - PARKING CHECK  SERVICES RENDERED,PATROL CRAIG A EICHHAMMER,[WIA_390]_SIMONDS_RD,04:12:58,04:13:13,,,PATROL CRAIG A EICHHAMMER,Initiated - PARKING CHECK,SERVICES RENDERED
01/01/2020,2,20-10,0744,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,{WIA_1832]_NORTH_HOOSAC_RD,07:45:15,07:46:00,Narrative  checked  Narrative  done  Narrative  done  Narrative  Checked 2337  Narrative  Checked 0316  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/01/2020,3,20-12,0822,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,HARWOOD_ST,08:22:35,08:23:18,Narrative  checked  Narrative  Checked  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/01/2020,3,20-13,0830,initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,NORTH_ST,08:30:26,08:31:22,Narrative:  checked  Narrative:  done  Narrative:  Checked 0001  ,,PATROL TANIA HERNANDEZ,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/01/2020,3,20-14,0836,Initiated - TRAFFIC CONTROL  SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN,LONGVIEW_TER,08:36:45,08:58:29,"Narrative  One MV,  speed: 21  Narrative  checked  ",,SERGEANT SCOTT E MCGOWAN,Initiated - TRAFFIC CONTROL,SERVICES RENDERED
01/01/2020,3,20-15,osol,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,LONGVIEW_TER,ad-09:01:54,09:02:07,Narrative  checked  Narrative  Checked  ,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/01/2020,4,20-17,0934,911 -  ALARM  ~ BURGLAR  ALARM FALSE,"PATROL DAVID JENNINGS, D",{WIA_645]_HOLLY_LN,09:41:39,09:45:01,"Narrative:  Garage interior door.  Narrative:  Homeowner on scene,  false alarm,  set off by friend at the  residence.  ",,"PATROL DAVID JENNINGS, D",,ALARM FALSE
01/01/2020,4,20-18,0950,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,ELM_ST,09:51:00,09:51:12,Narrative  checked  Narrative  done  Narrative  Checked 0048  ,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/01/2020,4,20-19,ogs5,5  Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,HAWTHORNE_RD,09:56:20,-09:56:59,Narrative  checked  Narrative  Checked  ,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/01/2020,4,20-20,0959,Initiated ~ BUILDING CHECK  BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,COLD_SPRING_RD,10:00:00,,,,SERGEANT SCOTT E MCGOWAN,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/01/2020,5,20-21,1133,Phone - ASSIST OTHER AGENCY  - DEW  TAKEN/REFERRED TO OTHER  AGENCY,"PATROL DAVID JENNINGS, D",(WIA_333]_CHURCH_ST,11:41:35,11:53:30,Narrative:  CP reports a water fountain on the Church St side is pouring  out water. Assistant principle contacted and en route.  Narrative:  Water is coming out of the school. Unknown how to shut it  off  ,,"PATROL DAVID JENNINGS, D",Phone - ASSIST OTHER AGENCY,TAKEN/REFERRED TO OTHER AGENCY
01/01/2020,5,20-22,1213,Phone - SUSPICIOUS ACTIVITY  SERVICES RENDERED,"PATROL DAVID JENNINGS, D",STRATTON_RD,12:21:09,12:25:42,Narrative  CP reports there is a knife on the east side of Stratton Rd  between Adams Rd and the Medical Associates driveway.  20~-1-PR.  Narrative  Knife found near intersection picked up.  ,,"PATROL DAVID JENNINGS, D",Phone - SUSPICIOUS ACTIVITY,SERVICES RENDERED
01/01/2020,5,20-23,1409,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,CHIEF KYLE J JOHNSON  NEW ASHFORD RD,Unit,14:09:24,14:17:31,,T2085861,CHIEF KYLE J JOHNSON,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/01/2020,5,20-24,1719,Initiated - BUILDING CHECK  BUILDING CHECKED/SECURED,PATROL JOHN J MCCONNELL JR,SOUTHWORTH_ST,17:19:32,17:19:44,Narrative  done  Narrative  Checked 0042  ,,PATROL JOHN J MCCONNELL JR,Initiated - BUILDING CHECK,BUILDING CHECKED/SECURED
01/01/2020,5,20-25,1720,Initiated ~- PARKING CHECK  NO ACTION REQUIRED,PATROL JOHN J MCCONNELL JR,SCHOOL_ST,17:20:57,,Narrative:  checked  ,,PATROL JOHN J MCCONNELL JR,Initiated - PARKING CHECK,NO ACTION REQUIRED
01/01/2020,6,20-26,1809,Initiated ~ MOTOR VEHICLE STOP  CITATION - WARNING,PATROL JOHN J MCCONNELL JR,COLE_AVE,18:09:13,18:18:08,,T20858106,PATROL JOHN J MCCONNELL JR,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/01/2020,6,20-27,1858,Initiated - MOTOR VEHICLE STOP  CITATION  - CIVIL,PATROL SHUAN N WILLIAM  NEW ASHFORD RD,Unit,18:58:32,19:05:56,,T2085587,PATROL SHUAN N WILLIAM,Initiated - MOTOR VEHICLE STOP,CITATION
01/01/2020,6,20-28,1911,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL JOHN J MCCONNELL JR,NORTH_HOOSAC_RD,19:11:51,19:23:23,,T20858i2,PATROL JOHN J MCCONNELL JR,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/01/2020,6,20-29,1922,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL SHUAN N WILLIAM  NEW ASHFORD RD,Unit,19;:22:11,19:28:30,,T2085588,PATROL SHUAN N WILLIAM,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/01/2020,6,20-30,1947,Initiated - MOTOR VEHICLE STOP  NO ACTION REQUIRED,PATROL SHUAN N WILLIAM,MAIN_ST,19:47:19,19:52:13,"Narrative:  RO of vehicle, who was operating same, had an Expired MA  License (11/21/2019). RO has just moved back from NC and has  a valid NC license. RO will go to RMV to get a new MA  license.  ",,PATROL SHUAN N WILLIAM,Initiated - MOTOR VEHICLE STOP,NO ACTION REQUIRED
01/01/2020,7,20-31,2100,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL KEVIN P GARNER  HANCOCK RD,Unit,21:00:37,21:05:06,,T2085943,PATROL KEVIN P GARNER,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/01/2020,7,20-32,als.,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL KEVIN P GARNER,NEW_ASHFORD_RD,21:51:58,21:57:05,,T2085944,PATROL KEVIN P GARNER,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/01/2020,7,20-33,2228,Phone -  ANIMAL CONTROL  SERVICES RENDERED,DISPATCHER LAURIE TUPER,HENDERSON_RD,22:36:43,22:43:02,"Narrative  Reports a deer with a broken leg headed into the field just  below his home.  Narrative  Saw one deer, walking fine. No sign of car/deer accident.  Spoke with RP, advised him that as long as there was no  hazard roadside, nature would handle things  ",,DISPATCHER LAURIE TUPER,Phone - ANIMAL CONTROL,SERVICES RENDERED
01/01/2020,7,20-34,2323,Initiated - MOTOR VEHICLE STOP  CITATION - WARNING,PATROL KALVIN DZIEDZIAK,MAIN_ST,23:23:26,23:30:56,,72085798,PATROL KALVIN DZIEDZIAK,Initiated - MOTOR VEHICLE STOP,CITATION - WARNING
01/02/2020,8,20-36,0401,Initiated - PARKING CHECK  SERVICES RENDERED,PATROL CRAIG A ERICHHAMMER,(WIA_390]_SIMONDS_RD,04:01:05,04:01:18,,,PATROL CRAIG A EICHHAMMER,Initiated - PARKING CHECK,SERVICES RENDERED
01/02/2020,8,20-37,0712,Initiated - TRAFFIC CONTROL  SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN  COLD SPRING RD,Unit:,07:12:28,07:33:12,,,SERGEANT SCOTT E MCGOWAN,Initiated - TRAFFIC CONTROL,SERVICES RENDERED
